dtype,features,solver,same_random_realization_across_dtypes,sigma_max_svd64,sigma_min_svd64,condition_A_svd64,log10_condition_A_svd64,condition_AtA_theoretical,numerical_rank_svd64,svd_condition_time_s,relative_L2,relative_residual,beta_norm,solve_time_s_diagnostic,status
float32,200,lstsq,True,7381.663125069725,0.00363282979558961,2031932.0035393173,6.307909170648417,4128747667007.304,200,0.047619679011404514,0.34657126665115356,0.03268803656101227,39594.33984375,0.00632193498313427,ok
float32,200,qr,True,7381.663125069725,0.00363282979558961,2031932.0035393173,6.307909170648417,4128747667007.304,200,0.047619679011404514,0.34675121307373047,0.03268764168024063,39594.34375,0.004501558840274811,ok
float32,200,normal,True,7381.663125069725,0.00363282979558961,2031932.0035393173,6.307909170648417,4128747667007.304,200,0.047619679011404514,0.787484347820282,0.08651665598154068,2533.26806640625,0.0288616381585598,ok
float32,200,ridge_1e-12,True,7381.663125069725,0.00363282979558961,2031932.0035393173,6.307909170648417,4128747667007.304,200,0.047619679011404514,0.787484347820282,0.08651665598154068,2533.26806640625,0.0007083057425916195,ok
float32,200,ridge_1e-08,True,7381.663125069725,0.00363282979558961,2031932.0035393173,6.307909170648417,4128747667007.304,200,0.047619679011404514,0.5200327634811401,0.07720089703798294,1988.660888671875,0.0006777336820960045,ok
float64,200,lstsq,True,7381.663125069725,0.00363282979558961,2031932.0035393173,6.307909170648417,4128747667007.304,200,0.047619679011404514,0.3467842314235475,0.03269221795598485,39587.82527003768,0.004651667084544897,ok
float64,200,qr,True,7381.663125069725,0.00363282979558961,2031932.0035393173,6.307909170648417,4128747667007.304,200,0.047619679011404514,0.346784231423564,0.032692217955984,39587.82527003771,0.006503343116492033,ok
float64,200,normal,True,7381.663125069725,0.00363282979558961,2031932.0035393173,6.307909170648417,4128747667007.304,200,0.047619679011404514,0.3467842329882945,0.03269221795598954,39587.82495265295,0.0019597699865698814,ok
float64,200,ridge_1e-12,True,7381.663125069725,0.00363282979558961,2031932.0035393173,6.307909170648417,4128747667007.304,200,0.047619679011404514,0.3478400413012622,0.03269717354699579,38743.96300000065,0.0012929458171129227,ok
float64,200,ridge_1e-08,True,7381.663125069725,0.00363282979558961,2031932.0035393173,6.307909170648417,4128747667007.304,200,0.047619679011404514,0.4119194809759288,0.045092409742832316,1846.676353129825,0.0007513831369578838,ok
float32,400,lstsq,True,10553.812955376408,1.0150016249246341e-05,1039782863.0235001,9.016942655417564,1.0811484022373467e+18,400,0.06079370807856321,0.009274102747440338,0.0009863197337836027,24596.71875,0.009091688320040703,ok
float32,400,qr,True,10553.812955376408,1.0150016249246341e-05,1039782863.0235001,9.016942655417564,1.0811484022373467e+18,400,0.06079370807856321,0.009027557447552681,0.00099798827432096,24596.439453125,0.00943631399422884,ok
float32,400,normal,True,10553.812955376408,1.0150016249246341e-05,1039782863.0235001,9.016942655417564,1.0811484022373467e+18,400,0.06079370807856321,0.6270460486412048,0.07488144189119339,2156.90869140625,0.004736960865557194,ok
float32,400,ridge_1e-12,True,10553.812955376408,1.0150016249246341e-05,1039782863.0235001,9.016942655417564,1.0811484022373467e+18,400,0.06079370807856321,0.6270460486412048,0.07488144189119339,2156.90869140625,0.0011642295867204666,ok
float32,400,ridge_1e-08,True,10553.812955376408,1.0150016249246341e-05,1039782863.0235001,9.016942655417564,1.0811484022373467e+18,400,0.06079370807856321,0.60740065574646,0.06728987395763397,1904.2177734375,0.0011539719998836517,ok
float64,400,lstsq,True,10553.812955376408,1.0150016249246341e-05,1039782863.0235001,9.016942655417564,1.0811484022373467e+18,400,0.06079370807856321,0.008035678147171755,0.0008754224402545293,237344.31853139462,0.009309555869549513,ok
float64,400,qr,True,10553.812955376408,1.0150016249246341e-05,1039782863.0235001,9.016942655417564,1.0811484022373467e+18,400,0.06079370807856321,0.008035678145550985,0.0008754224402604372,237344.31853140995,0.010212260764092207,ok
float64,400,normal,True,10553.812955376408,1.0150016249246341e-05,1039782863.0235001,9.016942655417564,1.0811484022373467e+18,400,0.06079370807856321,0.008074636853965237,0.0008766558626804273,207111.18873310398,0.0016069309785962105,ok
float64,400,ridge_1e-12,True,10553.812955376408,1.0150016249246341e-05,1039782863.0235001,9.016942655417564,1.0811484022373467e+18,400,0.06079370807856321,0.010842663299645405,0.001192185349337015,6780.808501920817,0.0012450041249394417,ok
float64,400,ridge_1e-08,True,10553.812955376408,1.0150016249246341e-05,1039782863.0235001,9.016942655417564,1.0811484022373467e+18,400,0.06079370807856321,0.04331803761032473,0.005389107941764363,523.134188854113,0.0012683062814176083,ok
float32,800,lstsq,True,14901.227929935412,2.469076151101882e-10,60351431134618.49,13.780687573132594,3.6422952399965986e+27,778,0.16939524468034506,0.0012361030094325542,0.0001244209852302447,4487.4443359375,0.01879559690132737,ok
float32,800,qr,True,14901.227929935412,2.469076151101882e-10,60351431134618.49,13.780687573132594,3.6422952399965986e+27,778,0.16939524468034506,0.000914216332603246,0.00010259406553814188,4487.1806640625,0.019679006189107895,ok
float32,800,normal,True,14901.227929935412,2.469076151101882e-10,60351431134618.49,13.780687573132594,3.6422952399965986e+27,778,0.16939524468034506,0.548790454864502,0.10521266609430313,2457.326171875,0.0065973601303994656,ok
float32,800,ridge_1e-12,True,14901.227929935412,2.469076151101882e-10,60351431134618.49,13.780687573132594,3.6422952399965986e+27,778,0.16939524468034506,0.548790454864502,0.10521266609430313,2457.326171875,0.0025234720669686794,ok
float32,800,ridge_1e-08,True,14901.227929935412,2.469076151101882e-10,60351431134618.49,13.780687573132594,3.6422952399965986e+27,778,0.16939524468034506,0.5274778604507446,0.10611992329359055,2472.780517578125,0.0025144489482045174,ok
float64,800,lstsq,True,14901.227929935412,2.469076151101882e-10,60351431134618.49,13.780687573132594,3.6422952399965986e+27,778,0.16939524468034506,1.249945439783353e-05,2.7488954738874894e-06,13290750.306327248,0.019466830883175135,ok
float64,800,qr,True,14901.227929935412,2.469076151101882e-10,60351431134618.49,13.780687573132594,3.6422952399965986e+27,778,0.16939524468034506,1.2499375686732163e-05,2.748895511572433e-06,13290750.306639116,0.020299416966736317,ok
float64,800,normal,True,14901.227929935412,2.469076151101882e-10,60351431134618.49,13.780687573132594,3.6422952399965986e+27,778,0.16939524468034506,0.0018571249959367362,0.0003181714691208301,180171.15330225855,0.008188094943761826,ok
float64,800,ridge_1e-12,True,14901.227929935412,2.469076151101882e-10,60351431134618.49,13.780687573132594,3.6422952399965986e+27,778,0.16939524468034506,0.000932373653644847,0.00014802601502348375,1153.6433510917939,0.002871055155992508,ok
float64,800,ridge_1e-08,True,14901.227929935412,2.469076151101882e-10,60351431134618.49,13.780687573132594,3.6422952399965986e+27,778,0.16939524468034506,0.01785639778799912,0.0017206478490610555,176.03902593376517,0.002893011085689068,ok
float32,1200,lstsq,True,18475.48105873648,6.759607823985193e-13,2.7332178936742044e+16,16.43667425527417,7.470480054300855e+32,1046,0.38265441777184606,0.00022430819808505476,2.5408506189705804e-05,1325.8450927734375,0.02733636787161231,ok
float32,1200,qr,True,18475.48105873648,6.759607823985193e-13,2.7332178936742044e+16,16.43667425527417,7.470480054300855e+32,1046,0.38265441777184606,0.00028218087390996516,2.8157892302260734e-05,1324.36279296875,0.029068521223962307,ok
float32,1200,normal,True,18475.48105873648,6.759607823985193e-13,2.7332178936742044e+16,16.43667425527417,7.470480054300855e+32,1046,0.38265441777184606,0.6825543642044067,0.12378379702568054,2295.10546875,0.0041022468358278275,ok
float32,1200,ridge_1e-12,True,18475.48105873648,6.759607823985193e-13,2.7332178936742044e+16,16.43667425527417,7.470480054300855e+32,1046,0.38265441777184606,0.6825543642044067,0.12378379702568054,2295.10546875,0.004058631137013435,ok
